Vrouwen,,,,,,,,,,
x,A(x),B(x),alpha(x),beta(x),frak-beta(x),,t,K(t),kappa(t),frak-kappa(t)
55,-5.445687549,0.007982480,0.002366170,0.014930078,0.004814402,,theta,-1.886468686,,
56,-5.365117831,0.008005909,0.017429366,0.011895096,-0.000414349,,a,0.941745728,,
57,-5.278483093,0.008017160,0.014115357,0.012484944,0.009840642,,c,0.417876611,,
58,-5.195011221,0.008198628,0.022787188,0.014010778,-0.007162707,,eta,0.5,,
59,-5.109407432,0.008137857,0.012506125,0.013728690,0.001498870,,,,,
60,-5.014283756,0.008231285,0.019661304,0.015139508,0.013543090,,,,,
61,-4.931038007,0.008234402,0.030300689,0.012580907,0.017994065,,,,,
62,-4.841447612,0.008485507,0.006856309,0.016640946,0.008316912,,,,,
63,-4.754115056,0.008721748,0.012234754,0.014356457,0.018153784,,,,,
64,-4.660664023,0.009028781,0.010214842,0.014274513,0.035286065,,,,,
65,-4.566061445,0.009244947,0.011256406,0.013842768,0.020567578,,,,,
66,-4.473429660,0.009410328,0.008303538,0.014565483,0.021792758,,,,,
67,-4.377643591,0.009761159,0.006415399,0.014164893,0.042665279,,,,,
68,-4.278245357,0.009927796,0.014918176,0.015212477,0.039935868,,,,,
69,-4.173850903,0.010204805,0.004208835,0.016954185,0.025884240,,,,,
70,-4.067453414,0.010421736,0.002734385,0.016791489,0.036232255,,,,,
71,-3.963134031,0.010588421,0.010493022,0.016362302,0.030115550,,,,,
72,-3.848941552,0.010773440,-0.007593332,0.017075958,0.030413542,,,,,
73,-3.737479203,0.010940723,-0.001921836,0.016986326,0.036615385,,,,,
74,-3.623664683,0.011070988,-0.002483936,0.016157086,0.036452620,,,,,
75,-3.507215650,0.011121900,-0.000559703,0.016438416,0.039383411,,,,,
76,-3.388364777,0.011097568,-0.004402618,0.016635474,0.038583306,,,,,
77,-3.272038443,0.011075209,0.005727047,0.015501939,0.039324846,,,,,
78,-3.150848347,0.010903347,0.002859654,0.015588429,0.037405409,,,,,
79,-3.027340214,0.010692300,-0.000543432,0.014235140,0.035516358,,,,,
80,-2.897582091,0.010377960,0.002634005,0.014467715,0.039292482,,,,,
81,-2.774978207,0.010014914,0.008027057,0.013235996,0.033407958,,,,,
82,-2.649065230,0.009714301,0.010489621,0.013805312,0.033448755,,,,,
83,-2.524493081,0.009317907,0.011365756,0.013607018,0.028833193,,,,,
84,-2.402173239,0.008961906,0.010313258,0.013408142,0.033484968,,,,,
85,-2.281951490,0.008411036,0.010860748,0.013653181,0.036335395,,,,,
86,-2.160725610,0.007939729,0.018774213,0.013656815,0.035882881,,,,,
87,-2.044710997,0.007351250,0.025052466,0.012994548,0.038176365,,,,,
88,-1.930506315,0.006841988,0.021615498,0.012533167,0.036257284,,,,,
89,-1.816661212,0.006296575,0.028455829,0.011818546,0.038517481,,,,,
90,-1.706456118,0.005760690,0.029780259,0.013747335,0.033604060,,,,,
91,-1.585051388,0.005720691,0.028787584,0.012642326,0.033604060,,,,,
92,-1.473437899,0.005395082,0.027794909,0.012927634,0.033604060,,,,,
93,-1.364392127,0.005088005,0.026802233,0.013127403,0.033604060,,,,,
94,-1.258295855,0.004798406,0.025809558,0.013236325,0.033604060,,,,,
95,-1.155530401,0.004525291,0.024816883,0.013250400,0.033604060,,,,,
96,-1.056468795,0.004267721,0.023824207,0.013167343,0.033604060,,,,,
97,-0.961466766,0.004024811,0.022831532,0.012986960,0.033604060,,,,,
98,-0.870852942,0.003795727,0.021838857,0.012711450,0.033604060,,,,,
99,-0.784918773,0.003579682,0.020846181,0.012345590,0.033604060,,,,,
100,-0.703908863,0.003375934,0.019853506,0.011896751,0.033604060,,,,,
101,-0.628012426,0.003183783,0.018860831,0.011374744,0.033604060,,,,,
